ID_LISTKU,ZDROJOVY_SOUBOR,TURNE,DATUM,INFO_TEXT,CONTRIBUTOR_TEXT,SOUBOR_SKEN,CENA,MENA,SEKTOR_RADA_SEDADLO,SUPPORTING_ACT,SETLIST,POCET_SKLADEB,SETLIST_URL,SOUBOR_SKEN_1,KATEGORIE
TICKET_0310,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,3rd April 1984,"3rd April 1984 - Dublin, Ireland - R.D.S. - Main Hall - Gert Schaumlöffel, Germany","John Foyle, Ireland","kk-joe-jackson-1984-04-03.jpg, kk-joe-jackson-1984-04-03-2.jpg",7.50,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/rds-simmonscourt-dublin-ireland-638e924b.html,"kk-joe-jackson-1984-04-03.jpg, kk-joe-jackson-1984-04-03-2.jpg",tickets
TICKET_0311,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,7th April 1984,"7th April 1984 - Manchester, U.K. - Apollo Theatre","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-04-07.jpg,7.30,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/manchester-apollo-manchester-U.K.-239064a3.html,kk-joe-jackson-1984-04-07.jpg,tickets
TICKET_0312,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,8th April 1984,"8th April 1984 - Birmingham, U.K. - Odeon Theatre","Mike Baggaley, U.K.",kk-joe-jackson-1984-04-08.jpg,7.30,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/birmingham-odeon-birmingham-U.K.-23ea147f.html,kk-joe-jackson-1984-04-08.jpg,tickets
TICKET_0313,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,11th April 1984,"11th April 1984 - London, U.K. -  Hammersmith Odeon","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-04-11.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/hammersmith-odeon-london-U.K.-1bd91d68.html,kk-joe-jackson-1984-04-11.jpg,tickets
TICKET_0314,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,12th April 1984,"12th April 1984 - London, U.K. -  Hammersmith Odeon - Gert Schaumlöffel, Germany - 12th April 1984 - London, U.K. -  Hammersmith Odeon - Gert Schaumlöffel, Germany","Alex Wilde, U.K.","kk-gs-joe-jackson-1984-04-12.jpg, kk-joe-jackson-1984-04-12-b.jpg, kk-joe-jackson-1984-04-12-c.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, Cha Cha Loco, You Can't Get What You Want (Till You Know What You Want), Not Here, Not Now, It's Different for Girls, The Verdict, Real Men, Is She Really Going Out With Him?, Happy Ending, Soul Makossa, T.V. Age, Memphis, Steppin' Out, Heart of Ice, Is You Is or Is You Ain't (Ma' Baby), Go for It",17,https://www.setlist.fm/setlist/joe-jackson/1984/hammersmith-odeon-london-U.K.-6b8e924e.html,"kk-gs-joe-jackson-1984-04-12.jpg, kk-joe-jackson-1984-04-12-b.jpg, kk-joe-jackson-1984-04-12-c.jpg",tickets
TICKET_0315,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,14th April 1984,"14th April 1984 - Rotterdam, Netherlands -  Ahoy","Lammert Veen, Netherlands",kk-jj-1984-04-14.jpg,20.00,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, Cha Cha Loco, The Verdict, It's Different for Girls, You Can't Get What You Want (Till You Know What You Want), Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, Happy Ending, Soul Makossa / T.V. Age, Memphis, Steppin' Out, Heart of Ice, Is You Is or Is You Ain't (Ma' Baby), Go for It, A Slow Song",17,https://www.setlist.fm/setlist/joe-jackson/1984/ahoy-rotterdam-netherlands-73d93e79.html,kk-jj-1984-04-14.jpg,tickets
TICKET_0316,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,15th April 1984,"15th April 1984 - Rotterdam, Netherlands - Ahoy","Harry Koekkoek, Netherlands",kk-hkk-01.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, Cha Cha Loco, The Verdict, It's Different for Girls, You Can't Get What You Want (Till You Know What You Want), Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, Happy Ending, Soul Makossa / T.V. Age, Memphis, Steppin' Out, Heart of Ice, Is You Is or Is You Ain't (Ma' Baby), Go for It, A Slow Song",17,https://www.setlist.fm/setlist/joe-jackson/1984/ahoy-rotterdam-netherlands-2be5205e.html,kk-hkk-01.jpg,tickets
TICKET_0317,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,21st April 1984,"21st April 1984 - Lyon, France - Palais des Sports","Tommy Mariano, France","kk-joe-jackson-1984-04-21-front.jpg, kk-joe-jackson-1984-04-21-back.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/palais-des-sports-lyon-france-7b8e924c.html,"kk-joe-jackson-1984-04-21-front.jpg, kk-joe-jackson-1984-04-21-back.jpg",tickets
TICKET_0318,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,25th April 1984,"25th April 1984 - Stuttgart, Germany - Liederhalle","Barnie Rupprecht, Germany",kk-joe-jackson-1984-04-25.jpg,20.00,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, The Verdict, Cha Cha Loco, It's Different for Girls, You Can't Get What You Want (Till You Know What You Want), Not Here, Not Now, Real Men, Soul Makossa / T.V. Age, Beat Crazy, Steppin' Out, Heart of Ice, Jumpin' Jive, Go for It, A Slow Song, Happy Ending, Breaking Us in Two, Be My Number Two, Chinatown, Is She Really Going Out With Him?, Fools in Love",21,https://www.setlist.fm/setlist/joe-jackson/1984/liederhalle-stuttgart-germany-13c41175.html,kk-joe-jackson-1984-04-25.jpg,tickets
TICKET_0319,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,26th April 1984,"26th April 1984 - Offenbach, Germany - Stadthalle","Gert Schaumlöffel, Germany",kk-jj-gs-1984-04-26.jpg,20.00,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/stadthalle-offenbach-am-main-germany-4bc7efda.html,kk-jj-gs-1984-04-26.jpg,tickets
TICKET_0320,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,30th April 1984,"30th April 1984 - Düsseldorf, Germany - Philipshalle","Tommy Mariano, France",kk-joe-jackson-1984-04-30.jpg,20.00,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, The Verdict, Cha Cha Loco, It's Different for Girls, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, You Can't Get What You Want (Till You Know What You Want), Soul Makossa / T.V. Age, Memphis, Steppin' Out, Heart of Ice, Jumpin' Jive, Go for It, A Slow Song",16,https://www.setlist.fm/setlist/joe-jackson/1984/philipshalle-dusseldorf-germany-23ec507b.html,kk-joe-jackson-1984-04-30.jpg,tickets
TICKET_0321,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,29th April 1984,"29th April 1984 - Ludwigshafen, Germany - Friedrich-Ebert-Halle","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-04-29.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Another World, The Verdict, Cha Cha Loco, It's Different for Girls, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, You Can't Get What You Want (Till You Know What You Want), Soul Makossa, T.V. Age, Memphis, Steppin' Out, Heart of Ice, Jumpin' Jive, Go for It, A Slow Song",17,https://www.setlist.fm/setlist/joe-jackson/1984/friedrich-ebert-halle-ludwigshafen-am-rhein-germany-1bdd3590.html,kk-joe-jackson-1984-04-29.jpg,tickets
TICKET_0322,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,2nd May 1984,"2nd May 1984 - Berlin, Germany - ICC","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-02.jpg,86.66,není k dispozici,Reihe: TrumB,není k dispozici,"Loisaida, Body and Soul, Another World, The Verdict, Cha Cha Loco, It's Different for Girls, Happy Ending, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, You Can't Get What You Want (Till You Know What You Want), Soul Makossa / T.V. Age, Memphis, Steppin' Out, Heart of Ice, Jumpin' Jive, Go for It, A Slow Song",18,https://www.setlist.fm/setlist/joe-jackson/1984/icc-2-berlin-germany-13ec51c5.html,kk-joe-jackson-1984-05-02.jpg,tickets
TICKET_0323,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,3rd May 1984,"3rd May 1984 - Hamburg, Germany - Congress Centrum Saal 1",anonymous,kk-joe-jackson-1984-05-03.jpg,není k dispozici,není k dispozici,Reihe: Platz,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/cch-saal-1-hamburg-germany-33ec5069.html,kk-joe-jackson-1984-05-03.jpg,tickets
TICKET_0324,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,5th May 1984,"5th May 1984 - Lille, France -  Foire Commerciale","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-05.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/palais-des-sports-saint-sauveur-lille-france-638e9243.html,kk-joe-jackson-1984-05-05.jpg,tickets
